ham,spam,Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
1,0,http://olaca.bs/yjdcWrtL2H,olaca.bs,0,0,404,0
0,1,https://goo.gl/x9YNuL,goo.gl,0,0,400,0
1,0,www.payback.in,www.payback.in,0,0,-1,0
0,1,https://goo.gl/9M9YQM,goo.gl,0,0,400,0
0,1,http://cetking.com/product/cet/,cetking.com,150610,6657,200,0
1,0,http://bit.ly/2dBAEow,bit.ly,137740,28069,200,1
1,0,http://frch.in/FP,frch.in,0,0,404,0
1,0,http://jio.com/r/Ea20IkZY,jio.com,3312763,186555,200,0
0,1,https://goo.gl/Y4D8Zg,goo.gl,0,0,400,0
1,1,http://www.jio.com/getmyjio,www.jio.com,3312763,186555,200,0
1,0,http://ekrt.in/iH65h!NNNN,ekrt.in,811747,256352,200,1
1,0,http://p-y.tm/5srD,p-y.tm,303336,98862,200,1
0,1,http://go-hike.in/a/Za2P_vu2,go-hike.in,0,0,-1,0
0,1,https://go.fyndi.ng/atw,go.fyndi.ng,396567,366590,200,1
1,0,http://tiny.jio.com/MyJioVideo?,tiny.jio.com,1764,116,200,0
0,1,https://goo.gl/uovqQX,goo.gl,0,0,400,0
0,1,https://go.fyndi.ng/sn,go.fyndi.ng,396567,366590,200,1
1,0,https://goo.gl/Y8JMrv,goo.gl,0,0,400,0
0,1,http://go-hike.in/a/tGIEVL6r,go-hike.in,0,0,-1,0
1,0,www.bookmyshow.com,www.bookmyshow.com,0,0,200,0
0,1,https://goo.gl/bCK95e,goo.gl,0,0,400,0
0,1,https://goo.gl/BT3y6N,goo.gl,0,0,400,0
0,1,http://jio.com/r/KG10uQN3,jio.com,3312763,186555,200,0
1,0,https://goo.gl/WUk5pn,goo.gl,0,0,400,0
0,1,http://jio.com/r/Z4eEJcq4,jio.com,3312763,186555,200,0
0,1,http://jio.com/r/ERRQ3NUN,jio.com,3312763,186555,200,0
0,1,http://goo.gl/Fjd16J,goo.gl,0,0,400,0
0,1,https://goo.gl/Mdtwjy,goo.gl,0,0,400,0
0,1,http://go-hike.in/a/2ZDUm6nR,go-hike.in,0,0,-1,0
0,1,http://smsd.in/l1EZym0E,smsd.in,0,0,200,1
1,0,www.gobrainwiz.in,www.gobrainwiz.in,60259,8437,200,1
0,1,https://goo.gl/n7k4s9,goo.gl,0,0,400,0
0,1,https://goo.gl/qkFE1t,goo.gl,0,0,400,0
1,0,http://jio.com/r/JoYduA,jio.com,3312763,186555,200,0
1,0,http://jio.com/r/JoQ3kf,jio.com,3312763,186555,200,0
0,1,http://bit.ly/2vZFvJA,bit.ly,137740,28069,200,1
0,1,http://bit.ly/2w25NuJ,bit.ly,137740,28069,200,1
1,0,http://jio.com/r/DJFajgJN,jio.com,3312763,186555,200,0
1,0,http://fkrt.it/7NgJD!NNNN,fkrt.it,812491,256259,200,1
0,1,http://bit.ly/2uLQeVN,bit.ly,137740,28069,200,1
0,1,http://jio.com/r/EjadL8Fs,jio.com,3312763,186555,200,0
0,1,https://fb.com/l/1ObUR03X4WXuI9O,fb.com,77992,32746,200,0
0,1,https://goo.gl/SSsBsq,goo.gl,0,0,400,0
0,1,https://goo.gl/n6qQdu,goo.gl,0,0,400,0
0,1,http://vls.bz/OXsNCd6ZJa5,vls.bz,0,0,-1,0
0,1,http://bit.ly/1olacabs,bit.ly,137740,28069,200,1
0,1,http://sz.hurraay.com/BsNl/bM/vd_v.jsp?p=hsk1499411135tL,sz.hurraay.com,1182,433,200,0
0,1,https://goo.gl/yQ5EbY,goo.gl,0,0,400,0
0,1,https://play.google.com/store/apps/details?id=com.sbi.mobicash&hl=en,play.google.com,1274977,192144,200,1
0,1,http://sz.hurraay.com/BsNl/bM/vd_v.jsp?p=asb1499411135eL,sz.hurraay.com,1182,433,200,0
0,1,http://sz.hurraay.com/BsNl/bM/vd_v.jsp?p=tds1499411135aL,sz.hurraay.com,1182,433,200,0
0,1,http://bit.ly/Locateus-BF,bit.ly,137740,28069,200,1
1,0,http://tiny.jio.com/BuyAddOn,tiny.jio.com,1764,116,200,0
1,0,www.vodafone.in/j1,www.vodafone.in,0,0,-1,0
0,1,https://goo.gl/jY2d63,goo.gl,0,0,400,0
0,1,https://go.fyndi.ng/ppi,go.fyndi.ng,396567,366590,200,1
0,1,https://www.shop101.com/WatchJunction?s-8,www.shop101.com,89739,16390,200,0
0,1,http://weurl.co/pkWSZ,weurl.co,35,9,200,0
1,0,http://fkrt.it/D15AKTuuuN,fkrt.it,811736,256433,200,1
0,1,https://goo.gl/aovjfF,goo.gl,0,0,400,0
0,1,http://bit.ly/2rqYJci,bit.ly,137740,28069,200,1
0,1,http://jio.com/r/YPDprf9r,jio.com,3312763,186555,200,0
0,1,http://weurl.co/JkVIh,weurl.co,35,9,200,0
0,1,https://go.fyndi.ng/sxf,go.fyndi.ng,396567,366590,200,1
1,0,https://goo.gl/V7Cejg,goo.gl,0,0,400,0
1,0,http://m.p-y.tm/GC2511,m.p-y.tm,1937,742,200,0
0,1,https://go.ibi.bo/W1ad/4huaxKwq1G,go.ibi.bo,0,0,-1,0
0,1,https://goo.gl/n1wqMA,goo.gl,0,0,400,0
1,0,www.amazon.in/track,www.amazon.in,793233,403294,200,1
1,0,http://jio.com/r/CXA4gULV,jio.com,3312763,186555,200,0
0,1,https://goo.gl/vgWvny,goo.gl,0,0,400,0
0,1,https://goo.gl/BqjdAK,goo.gl,0,0,400,0
1,0,http://jio.com/r/CLAhYSye,jio.com,3312763,186555,200,0
0,1,https://go.fyndi.ng/jma,go.fyndi.ng,396567,366590,200,1
0,1,www.vodafone.in/u,www.vodafone.in,0,0,-1,0
0,1,https://goo.gl/c4M4ag,goo.gl,0,0,400,0
1,0,http://ekrt.in/PZS!YTuuuN,ekrt.in,812411,256368,200,1
0,1,https://n7265.app.goo.gl/pGuk,n7265.app.goo.gl,0,0,400,0
1,0,http://amzn.in/gqw9z4V,amzn.in,837153,426311,200,1
0,1,http://www.careerlauncher.com/snap/,www.careerlauncher.com,31095,12015,200,0
0,1,https://goo.gl/VC4K0k,goo.gl,0,0,400,0
1,0,http://goim.in/P4KaEYmw,goim.in,313683,116845,200,1
0,1,https://tinyurl.com/z5v3rd6,tinyurl.com,13611,0,200,1
0,1,https://bnc.lt/W1ad/Z2sr1rIhNt,bnc.lt,0,0,404,0
0,1,https://goo.gl/b4Hoxb,goo.gl,0,0,400,0
1,0,https://goo.gl/Kj6zE9,goo.gl,0,0,400,0
0,1,https://goo.gl/63JERD,goo.gl,0,0,400,0
1,0,http://m.p-y.tm/yw8,m.p-y.tm,1937,742,200,0
1,0,http://bluedart.in/?79033288806,bluedart.in,0,0,200,1
0,1,https://go.fyndi.ng/rbn,go.fyndi.ng,396567,366590,200,1
0,1,https://fb.com/l/2dUxiMyDNv0aRWQ,fb.com,77999,32756,200,0
0,1,https://go.ibi.bo/W1ad/IMGYgjaZuH,go.ibi.bo,0,0,-1,0
0,1,https://goo.gl/XniUir,goo.gl,0,0,400,0
1,0,https://goo.gl/AVNT5E,goo.gl,0,0,400,0
1,0,http://jio.com/r/Yy6O5gaT,jio.com,3312763,186555,200,0
1,0,http://jio.com/r/IVXT1H,jio.com,3312763,186555,200,0
1,0,http://jio.com/r/YtBRaDiw,jio.com,3312763,186555,200,0
1,0,http://m.p-y.tm/msm,m.p-y.tm,1937,742,200,0
0,1,https://telegram.org/dl,telegram.org,19558,2122,200,0
0,1,https://fb.com/l/9Ehllj2MJutL39,fb.com,77989,32749,200,0
0,1,https://fb.com/l/a3iXczSCSF1mY8,fb.com,78011,32751,200,0
1,0,http://olaca.bs/ZadoOrBWk5,olaca.bs,0,0,404,0
1,0,http://jio.com/r/YmoNImxt,jio.com,3312763,186555,200,0
0,1,https://fb.com/l/8NrDssOjBt1wIu,fb.com,78009,32746,200,0
1,0,http://jio.com/r/EdkTcq74,jio.com,3312763,186555,200,0
0,1,http://bit.ly/2uOaue8,bit.ly,137740,28069,200,1
0,1,https://fb.com/l/a1GFKUh3vFTUiC,fb.com,77993,32747,200,0
0,1,http://jio.com/r/xsXeF3Xz,jio.com,3312763,186555,200,0
0,1,https://goo.gl/6M4fE4,goo.gl,0,0,400,0
0,1,https://goo.gl/9VkDga,goo.gl,0,0,400,0
0,1,https://goo.gl/uUGQHj,goo.gl,0,0,400,0
0,1,https://web.zetaapps.in/,web.zetaapps.in,2676,306,200,0
0,1,http://jio.com/r/0qNNu5mY,jio.com,3312763,186555,200,0
1,0,https://www.jio.com/fup,www.jio.com,3312763,186555,200,0
0,1,https://goo.gl/HMsM9q,goo.gl,0,0,400,0
1,0,www.jio.com/Jio/portal/storeLocator,www.jio.com,3312763,186555,200,0
0,1,https://go.fyndi.ng/pfv,go.fyndi.ng,396567,366590,200,1
1,0,http://jio.com/r/XHZQalun,jio.com,3312763,186555,200,0
0,1,https://goo.gl/pm2UUp,goo.gl,0,0,400,0
1,0,http://fkrt.it/uzHYa!NNNN,fkrt.it,811665,256441,200,1
1,0,http://frch.in/OF,frch.in,0,0,404,0
0,1,https://fb.com/l/26SAllz7Beuf8af,fb.com,77996,32745,200,0
0,1,http://he1o.in/2hQhV8,he1o.in,0,0,-1,0
0,1,https://www.shop101.com/WatchJunction,www.shop101.com,89739,16390,200,0
1,0,http://jio.com/r/DqNdyi5a,jio.com,3312763,186555,200,0
1,0,http://m.p-y.tm/LT8,m.p-y.tm,1937,742,200,0
0,1,http://go-hike.in/a/2UtXialq,go-hike.in,0,0,-1,0
0,1,www.vodafone.in/z3,www.vodafone.in,0,0,-1,0
0,1,http://jio.com/r/Y5HGyKke,jio.com,3312763,186555,200,0
1,0,http://fkrt.it/Aid!7nuuuN,fkrt.it,811961,256577,200,1
0,1,www.cetking.com,www.cetking.com,150610,6657,200,0
1,0,http://amzn.in/0eJddte,amzn.in,809277,419110,200,1
0,1,https://goo.gl/iENu9A,goo.gl,0,0,400,0
0,1,http://bit.ly/2tm1pnh,bit.ly,137740,28069,200,1
0,1,http://jio.com/r/UUHhvjyz,jio.com,3312763,186555,200,0
0,1,http://bit.ly/sv125,bit.ly,137740,28069,200,1
0,1,https://goo.gl/EbGVCZ,goo.gl,0,0,400,0
1,0,http://fkrt.it/YZIkt!NNNN,fkrt.it,811615,256399,200,1
1,0,http://ekrt.it/QQDGV!NNNN,ekrt.it,0,0,-1,0
1,0,https://goo.gl/2JfeiH,goo.gl,0,0,400,0
1,1,www.jio.com/getmyjio,www.jio.com,3312763,186555,200,0
0,1,https://goo.gl/BX6Zi7,goo.gl,0,0,400,0
1,0,http://fkrt.it/UXlA3TuuuN,fkrt.it,0,0,500,0
1,0,http://msg.mn/1Akb85/ouo91hI,msg.mn,0,0,-1,0
1,0,www.pariksha.co,www.pariksha.co,241199,709,200,0
0,1,https://goo.gl/cF4S3e,goo.gl,0,0,400,0
1,0,https://goo.gl/KKW5k7,goo.gl,0,0,400,0
0,1,https://goo.gl/HVcyyM,goo.gl,0,0,400,0
1,0,http://fkrt.it/1uzV6!NNNN,fkrt.it,812856,256501,200,1
0,1,http://bit.ly/2giRIEi,bit.ly,137740,28069,200,1
1,0,http://jio.com/r/EwtxhHfd,jio.com,3312763,186555,200,0
0,1,https://goo.gl/eczJw3,goo.gl,0,0,400,0
1,0,http://jio.com/r/DubUZ9jb,jio.com,3312763,186555,200,0
1,0,http://amzn.in/iuedWue,amzn.in,840685,413302,200,1
1,0,http://amzn.in/h6ARIQz,amzn.in,849107,422903,200,1
0,1,http://empi.ac.in/empi/cat-answers-2017,empi.ac.in,510534,41296,200,1
1,0,www.vodafone.in/j3,www.vodafone.in,0,0,-1,0
1,0,https://www.jio.com/browse_plans?id=19,www.jio.com,3312763,186555,200,0
0,1,http://bit.ly/2vAhxH0,bit.ly,137740,28069,200,1
1,0,https://goo.gl/5azZ2a,goo.gl,0,0,400,0
0,1,http://jio.com/r/UeVOS1Xv,jio.com,3312763,186555,200,0
1,0,http://jio.com/r/BQyeaEWY,jio.com,3312763,186555,200,0
0,1,http://bit.ly/2cAW8lB,bit.ly,137740,28069,200,1
0,1,https://fb.com/l/1R4CXY55vxHc4Fl,fb.com,78007,32748,200,0
0,1,https://www.mygov.in/home/do/,www.mygov.in,249624,33678,200,0
1,0,http://amzn.in/0l2bfmo,amzn.in,831095,420058,200,1
0,1,https://goo.gl/eB4b5G,goo.gl,0,0,400,0
0,1,https://goo.gl/SUK3uN,goo.gl,0,0,400,0
1,0,http://mynt.to/ha5Ff,mynt.to,114,0,200,1
1,0,http://fkrt.it/XNmGZKNNNN,fkrt.it,812393,256349,200,1
0,1,https://goo.gl/e6LYuN,goo.gl,0,0,400,0
0,1,http://bit.ly/olausers1,bit.ly,137740,28069,200,1
1,0,https://www.jio.com/GetMyJio,www.jio.com,3312763,186555,200,0
1,0,http://fkrt.it/E0bVD!NNNN,fkrt.it,811789,256495,200,1
0,1,http://pmapp.nic.in/m.jsp?6984830759,pmapp.nic.in,0,0,-1,0
1,0,http://amzn.in/7TgThCN,amzn.in,816740,415326,200,1
1,0,http://amzn.in/3R00Oxs,amzn.in,820879,409497,200,1
1,0,http://amzn.in/01NqcLO,amzn.in,827056,415963,200,1
1,0,https://iimcat.ac.in/,iimcat.ac.in,1858,245,200,0
0,1,www.taxila.in,www.taxila.in,133309,26245,200,0
0,1,http://bit.ly/2eIsk5g,bit.ly,137740,28069,200,1
1,0,http://jio.com/r/DXP9tRxb,jio.com,3312763,186555,200,0
1,0,http://goo.gl/xuyxTc,goo.gl,0,0,400,0
0,1,http://go-hike.in/a/yYU9DVAz,go-hike.in,0,0,-1,0
0,1,https://goo.gl/ggc1PY,goo.gl,0,0,400,0
0,1,http://onnb.in/app,onnb.in,3763,1316,200,0
1,0,http://amzn.in/aZsGcTw,amzn.in,812431,404516,200,1
0,1,http://jio.com/r/MRa4PlS7,jio.com,3312763,186555,200,0
0,1,http://cetking.com/cet,cetking.com,150610,6657,200,0
1,0,http://m.p-y.tm/jd9,m.p-y.tm,1937,742,200,0
1,0,http://amzn.in/gkrkRBh,amzn.in,792551,403004,200,1
0,1,http://bit.ly/250mvs,bit.ly,137740,28069,200,1
0,1,https://go.fyndi.ng/pvs,go.fyndi.ng,396567,366590,200,1
0,1,http://bit.ly/Kotakm1,bit.ly,137740,28069,200,1
0,1,http://bit.ly/2cGOkP3,bit.ly,137740,28069,200,1
0,1,http://go.fyndi.ng/fyn,go.fyndi.ng,396567,366590,200,1
1,0,www.tsrtconline.in,www.tsrtconline.in,8025,60,200,0
0,1,http://jio.com/r/XLfTLtmW,jio.com,3312763,186555,200,0
0,1,https://goo.gl/Zu11UF,goo.gl,0,0,400,0
1,0,http://jio.com/r/Eosvhi9R,jio.com,3312763,186555,200,0
0,1,https://goo.gl/2Jh6Uk,goo.gl,0,0,400,0
0,1,https://goo.gl/2mndzk,goo.gl,0,0,400,0
1,0,http://ekrt.in/sUhuLTuuuN,ekrt.in,834073,272093,200,1
1,0,https://pmny.in/zIOLwMQmHu6r,pmny.in,0,0,200,0
0,1,https://goo.gl/1x3myi,goo.gl,0,0,400,0
0,1,http://jio.com/r/Kra5vcso,jio.com,3312763,186555,200,0
1,0,https://bmsurl.co/8fCnccwf,bmsurl.co,0,0,-1,0
0,1,http://go-hike.in/a/ioYDKhmG,go-hike.in,0,0,-1,0
0,1,https://go.fyndi.ng/suw,go.fyndi.ng,396567,366590,200,1
0,1,http://jio.com/r/GbSNOc6h,jio.com,3312763,186555,200,0
0,1,http://bit.ly/2vRkQWZ,bit.ly,137740,28069,200,1
0,1,http://p-y.tm/z23jPBnRG,p-y.tm,303336,98862,200,1
0,1,https://goo.gl/v4eVMR,goo.gl,0,0,400,0
1,1,www.jio.com,www.jio.com,3312763,186555,200,0
0,1,https://goo.gl/s9xUru,goo.gl,0,0,400,0
0,1,http://jio.com/r/Y3rysgM3,jio.com,3312763,186555,200,0
0,1,http://jio.com/r/DRqvZMz2,jio.com,3312763,186555,200,0
0,1,http://jio.com/r/W8r1Kpru,jio.com,3312763,186555,200,0
1,0,http://amzn.in/fcsRTss,amzn.in,766209,378569,200,1
0,1,https://goo.gl/zmTUu8,goo.gl,0,0,400,0
1,0,https://goo.gl/nywmra,goo.gl,0,0,400,0
0,1,http://go-hike.in/a/sm0E0020,go-hike.in,0,0,-1,0
0,1,http://chk.bz/9f8peupnaf,chk.bz,0,0,-1,0
0,1,https://goo.gl/qaUa5R,goo.gl,0,0,400,0
0,1,http://ccdapp.in,ccdapp.in,0,0,-1,0
1,0,http://jio.com/r/ENrVpeF2,jio.com,3312763,186555,200,0
1,0,http://m.p-y.tm/yw12,m.p-y.tm,1937,742,200,0
0,1,https://goo.gl/cLR6Ku,goo.gl,0,0,400,0
0,1,https://goo.gl/xkUroF,goo.gl,0,0,400,0
1,0,http://amzn.in/iFUcbf9,amzn.in,850015,422274,200,1
1,0,http://jio.com/r/EASRS4ID,jio.com,3312763,186555,200,0
1,0,http://jio.com/r/XQgXCA48,jio.com,3312763,186555,200,0
0,1,https://goo.gl/v4s7F5,goo.gl,0,0,400,0
0,1,https://goo.gl/8LRi23,goo.gl,0,0,400,0
0,1,www.athenaschoolofmanagement.com/i,www.athenaschoolofmanagement.com,76459,10663,200,0
0,1,https://goo.gl/YRqjBU,goo.gl,0,0,400,0
0,1,https://goo.gl/ST2ocs,goo.gl,0,0,400,0
0,1,https://goo.gl/3Ch4X4,goo.gl,0,0,400,0
0,1,http://bit.ly/2zRaJn9,bit.ly,137740,28069,200,1
0,1,https://goo.gl/gxSxWb,goo.gl,0,0,400,0
1,0,http://pmny.in/FI6L8HEhtoCj,pmny.in,0,0,200,0
1,0,http://m.onelink.me/83621956,m.onelink.me,0,0,502,0
1,1,https://web.umang.gov.in/uaw/i/v/ref,web.umang.gov.in,478910,65401,200,1
0,1,https://goo.gl/KaK9jU,goo.gl,0,0,400,0
0,1,http://jio.com/r/SU7fQB07,jio.com,3312763,186555,200,0
0,1,https://www.shop101.com/WatchJunction?1c3ll,www.shop101.com,89739,16390,200,0
0,1,https://goo.gl/fmhbBw,goo.gl,0,0,400,0
1,0,www.bluedart.com,www.bluedart.com,429519,118482,200,0
1,0,http://amzn.in/6VTnfAI,amzn.in,811062,406005,200,1
0,1,https://fb.com/l/215cnszHSzjnOFq,fb.com,77975,32750,200,0
0,1,https://goo.gl/aDYGuA,goo.gl,0,0,400,0
1,0,http://jio.com/r/Jq5BVk,jio.com,3312763,186555,200,0
0,1,http://jio.com/r/Uiil0ddY,jio.com,3312763,186555,200,0
1,0,http://amzn.in/aNt4D8u,amzn.in,832952,423367,200,1
1,0,http://amzn.in/6XHk2ui,amzn.in,832214,422375,200,1
0,1,http://jio.com/r/EntnmV0c,jio.com,3312763,186555,200,0
1,0,http://msg.mn/mssDlo/wqwzj6N.?,msg.mn,0,0,-1,0
0,1,http://jio.com/r/J7Q263Xv,jio.com,3312763,186555,200,0
0,1,http://go-hike.in/a/GqYeA1m1,go-hike.in,0,0,-1,0
0,1,http://smsd.in/jl7aqAE6,smsd.in,0,0,200,1
0,1,http://bit.ly/Kotakm4,bit.ly,137740,28069,200,1
0,1,http://go-hike.in/a/1j7dTqmO,go-hike.in,0,0,-1,0
1,0,http://jio.com/r/DYpXLgSC,jio.com,3312763,186555,200,0
0,1,http://jio.com/r/XhmgKyow,jio.com,3312763,186555,200,0
0,1,https://fb.com/l/9zsh5UloQEq13T,fb.com,77966,32745,200,0
0,1,https://goo.gl/CZJcqP,goo.gl,0,0,400,0
1,0,www.abhibus.com,www.abhibus.com,0,0,200,0
1,0,https://lnkd.in/eM7HnmP,lnkd.in,142593,5253,200,0
1,0,http://piza.store/di/30880848407036777.Png,piza.store,0,0,-1,0
0,1,http://bit.ly/2v4WgCo,bit.ly,137740,28069,200,1
0,1,https://fb.com/l/2eJDAGXDwZJYCeK,fb.com,78021,32749,200,0
0,1,http://bit.ly/2fJpt24,bit.ly,137740,28069,200,1
0,1,https://goo.gl/T85pGJ,goo.gl,0,0,400,0
1,0,http://jio.com/r/EkyVUPEs,jio.com,3312763,186555,200,0
1,0,www.compuindia.com,www.compuindia.com,0,0,-1,0
1,0,http://fkrt.it/PMHEfTuuuN,fkrt.it,812374,256386,200,1
0,1,https://goo.gl/2MYwaz,goo.gl,0,0,400,0
1,0,http://m.p-y.tm/D60,m.p-y.tm,1937,742,200,0
0,1,http://piza.io/i/a.asp?i=108688978407036777,piza.io,114,0,200,1
0,1,http://bit.ly/29ajj3B,bit.ly,137740,28069,200,1
0,1,https://goo.gl/1gzm7y,goo.gl,0,0,400,0
0,1,https://goo.gl/VUChvB,goo.gl,0,0,400,0
0,1,https://goo.gl/ZuGh7o,goo.gl,0,0,400,0
0,1,http://y.smrtlnk.in/ful2Kg0H,y.smrtlnk.in,0,0,-1,0
1,0,http://jio.com/r/WRv7dYo5,jio.com,3312763,186555,200,0
1,0,http://m.onelink.me/53176eff,m.onelink.me,0,0,502,0
0,1,http://go-hike.in/a/prKWOnpv,go-hike.in,0,0,-1,0
1,0,http://m.p-y.tm/AEG,m.p-y.tm,1937,742,200,0
0,1,https://goo.gl/8nfUm6,goo.gl,0,0,400,0
1,0,http://amzn.in/6twkxj9,amzn.in,817132,408939,200,1
0,1,https://goo.gl/5rEQjT,goo.gl,0,0,400,0
1,0,http://ty.vfap.co/1zg25nnv,ty.vfap.co,0,0,-1,0
1,0,https://goo.gl/AUgAVq,goo.gl,0,0,400,0
1,0,http://fkrt.it/3j7SI!NNNN,fkrt.it,811849,255531,200,1
